condition,ingredient_category,flag_type,evidence_source,notes
Rosacea,Fragrance,Avoid,BAD Patient Hub - Rosacea,Perfumed soap can make rosacea worse
Rosacea,Alcohol,Avoid,AAD - Rosacea skin care tips,AAD recommends avoiding facial products containing alcohol
Rosacea,Menthol,Avoid,AAD - Rosacea skin care tips,AAD recommends avoiding facial products containing menthol
Rosacea,Sodium Lauryl Sulfate,Caution,AAD - Rosacea skin care tips,AAD recommends avoiding facial products containing sodium lauryl sulfate
Rosacea,UV Filter,Beneficial,BAD Patient Hub - Rosacea,Sun block with SPF of at least 30 should be applied every day
Rosacea,Emollients,Beneficial,BAD Patient Hub - Rosacea,Soap substitute emollient and non-perfumed moisturiser are recommended for dry or sensitive skin
Rosacea,Niacinamide,Beneficial,PubMed - Draelos 2019,Anti-inflammatory reduces redness
Atopic Dermatitis,Fragrance,Avoid,NEA - National Eczema Association,Top irritant for eczema
Atopic Dermatitis,Isothiazolinone Preservatives,Caution,European Commission SCCS,MI/MCI preservatives have significant skin-sensitising potential
Atopic Dermatitis,Lanolin,Caution,BAD Annual Meeting 2023 - hypoallergenic products,Lanolin is a potential contact allergen and is most relevant to sensitised individuals
Atopic Dermatitis,Ceramides,Beneficial,NEA / BAD,Restores skin barrier - first line recommendation
Atopic Dermatitis,Colloidal Oatmeal,Beneficial,NEA,Clinically proven to soothe eczema
Atopic Dermatitis,Emollients,Beneficial,BAD Patient Hub - Atopic eczema,Moisturisers and emollients are described as one of the most important parts of eczema care
Psoriasis,Keratolytics,Beneficial,BAD Patient Hub - Psoriasis topical treatments,Salicylic acid can reduce excessive scaling
Psoriasis,Emollients,Beneficial,BAD Patient Hub - Psoriasis,Keeping skin well moisturized helps prevent dryness and cracking
Alopecia,UV Filter,Beneficial,BAD Patient Hub - Alopecia areata,Bald patches should be protected with sun block or a hat to prevent sunburn and long-term sun damage
Acne,Keratolytics,Beneficial,BAD Patient Hub - Acne,Ingredients such as salicylic acid or benzoyl peroxide can be helpful for mild acne
Acne,Niacinamide,Beneficial,BAD Patient Hub - Acne,Nicotinamide also known as niacinamide is listed as an active topical acne treatment
Seborrhoeic Dermatitis,Anti-seborrhoeic Agents,Beneficial,BAD Patient Hub - Seborrhoeic dermatitis,Anti-seborrhoeic ingredients are used in dandruff-focused cosmetic care
Seborrhoeic Dermatitis,Keratolytics,Beneficial,BAD Patient Hub - Seborrhoeic dermatitis,Salicylic acid treatments can help remove thick scale especially on the scalp
Seborrhoeic Dermatitis,Emollients,Beneficial,BAD Patient Hub - Seborrhoeic dermatitis,Light moisturiser can help support the skin barrier after washing
Keratosis Pilaris,Keratolytics,Beneficial,AAD - Keratosis pilaris diagnosis and treatment,Salicylic acid and urea are listed as keratolytic treatment ingredients
Actinic Keratoses,UV Filter,Beneficial,BAD Patient Hub - Actinic keratoses,High protection sunscreen of at least SPF 30 with high UVA protection is recommended
Actinic Keratoses,Emollients,Beneficial,BAD Patient Hub - Actinic keratoses,Moisturisers can be used for scaly patches
