condition,ingredient_category,flag_type,evidence_source,notes
Rosacea,Fragrance,Avoid,AAD / dermatological consensus,Common trigger for rosacea flares
Rosacea,Essential Oils,Caution,AAD,Can cause irritation and flushing
Rosacea,Alcohol,Avoid,AAD / BAD,Drying and vasodilating - worsens redness
Rosacea,Menthol,Avoid,AAD,Cooling agents trigger flushing
Rosacea,Sulfates,Caution,dermatological consensus,Can disrupt skin barrier
Rosacea,UV Filters,Beneficial,BAD,Daily SPF 30+ strongly recommended
Rosacea,Humectants,Beneficial,dermatological consensus,Maintains moisture without irritation
Rosacea,Niacinamide,Beneficial,PubMed - Draelos 2019,Anti-inflammatory reduces redness
Rosacea,Ceramides,Beneficial,dermatological consensus,Barrier repair reduces sensitivity
Atopic Dermatitis,Fragrance,Avoid,NEA - National Eczema Association,Top irritant for eczema
Atopic Dermatitis,Sulfates,Avoid,NEA,Disrupts skin barrier
Atopic Dermatitis,Preservatives,Caution,NEA,MI/MCI and formaldehyde releasers are sensitisers
Atopic Dermatitis,Essential Oils,Caution,NEA,Can cause allergic reaction
Atopic Dermatitis,Lanolin,Caution,dermatological consensus,Can cause allergy in sensitised individuals
Atopic Dermatitis,Ceramides,Beneficial,NEA / BAD,Restores skin barrier - first line recommendation
Atopic Dermatitis,Humectants,Beneficial,NEA / BAD,Glycerin and hyaluronic acid retain moisture
Atopic Dermatitis,Colloidal Oatmeal,Beneficial,NEA,Clinically proven to soothe eczema
Atopic Dermatitis,Emollients,Beneficial,BAD,Core of eczema management
Psoriasis,Fragrance,Avoid,dermatological consensus,Can trigger flares
Psoriasis,Alcohol,Avoid,dermatological consensus,Drying and irritating on plaques
Psoriasis,Sulfates,Caution,dermatological consensus,Can irritate psoriatic skin
Psoriasis,Keratolytics,Beneficial,BAD / dermatological consensus,Salicylic acid removes scale
Psoriasis,Humectants,Beneficial,BAD,Urea and glycerin soften plaques
Psoriasis,Emollients,Beneficial,BAD,Reduces dryness and cracking
Psoriasis,Coal Tar,Beneficial,BAD,Traditional treatment for psoriasis
Alopecia,Hair Growth Actives,Beneficial,AAD,Caffeine minoxidil biotin support hair growth
Alopecia,Alcohol,Caution,dermatological consensus,Can dry scalp and worsen irritation
Alopecia,Sulfates,Caution,dermatological consensus,Can damage hair follicles with overuse
Alopecia,Silicones,Caution,dermatological consensus,Can build up and block follicles
Acne,Comedogenic Ingredients,Avoid,AAD,Block pores and worsen acne
Acne,Heavy Oils,Avoid,AAD,Isopropyl myristate coconut oil are comedogenic
Acne,Keratolytics,Beneficial,AAD,Salicylic acid unclogs pores
Acne,Niacinamide,Beneficial,PubMed,Reduces sebum and inflammation
Acne,Retinoids,Beneficial,AAD,Increases cell turnover prevents clogging
Seborrhoeic Dermatitis,Fragrance,Avoid,BAD / dermatological consensus,Irritates sensitive scalp and triggers flares
Seborrhoeic Dermatitis,Heavy Oils,Avoid,dermatological consensus,Feeds Malassezia fungus and worsens condition
Seborrhoeic Dermatitis,Sulfates,Caution,dermatological consensus,Can over-strip scalp and worsen irritation
Seborrhoeic Dermatitis,Antifungal Agents,Beneficial,BAD,Zinc pyrithione ketoconazole target Malassezia fungus
Seborrhoeic Dermatitis,Keratolytics,Beneficial,BAD / dermatological consensus,Salicylic acid removes scale and unclogs follicles
Keratosis Pilaris,Keratolytics,Beneficial,AAD / dermatological consensus,AHAs BHAs and urea dissolve keratin plugs in follicles
Keratosis Pilaris,Humectants,Beneficial,dermatological consensus,Moisturise rough dry skin and soften bumps
Keratosis Pilaris,Heavy Oils,Caution,dermatological consensus,Can clog follicles and worsen plugging
Keratosis Pilaris,Fragrance,Caution,dermatological consensus,Skin is often sensitive and reactive to fragrance
